year month Tmax Tmin PAR Prec CO2
1850-2006 1 -5.31470117438327 -9.76923915392729 17.6777486533058 49.3190750787033 311.359878344414
1850-2006 2 -4.31556402755108 -8.95202212398997 42.9940832188987 46.2920866308469 311.408689449995
1850-2006 3 -0.286393194329226 -5.28270396402435 80.535340288879 47.5141015799948 311.457500555576
1850-2006 4 5.76528158318509 -0.859691557165672 116.328356874473 43.5548282068763 311.507969196026
1850-2006 5 11.6216456896638 4.32135481115892 152.70723883796 41.9808106718834 311.558431967711
1850-2006 6 16.4035355136819 9.2962672716951 163.288517305475 41.3919351843975 311.608899434408
1850-2006 7 18.8953507932898 12.1810395332232 159.038816610721 46.8503362326965 311.659807840983
1850-2006 8 18.2118714842078 11.9076298857389 126.029061426015 52.3410301629816 311.712115948017
1850-2006 9 14.0345393246168 8.46374549343164 88.57538379614 65.3429537952334 311.763578170385
1850-2006 10 8.14818871903095 3.90656067312583 54.7578307152837 62.1093382017422 311.815042740259
1850-2006 11 1.64134786945502 -1.92745019573053 24.9061481026031 63.4257148969532 311.86650965764
1850-2006 12 -3.29205289049211 -7.45783446954218 11.7215859081243 52.7725100666467 311.917972075633
2006 1 -6.97247924804685 -11.7967056274414 17.8188761438985 78.0515554652084 379.807952880859
2006 2 -0.99706115722654 -5.03043212890623 42.8172572613585 72.0372419891646 379.970794677734
2006 3 1.77252349853518 -2.76251831054685 81.5556086225328 87.0034355175449 380.133605957031
2006 4 4.46009979248049 -1.16232910156248 113.622006490024 46.6186661651591 380.301910400391
2006 5 11.2402053833008 3.97180328369143 148.283052682817 13.5336339853893 380.470275878906
2006 6 19.1218048095703 11.7850051879883 156.424579283725 50.3767370464629 380.638610839844
2006 7 22.2795349121094 15.0638900756836 158.764728528506 22.3827025874925 380.804504394531
2006 8 21.5808578491211 14.8530822753906 122.905818563441 81.035731578595 380.970092773438
2006 9 14.461198425293 9.0111022949219 83.2177440690256 82.9113213694654 381.133026123047
2006 10 9.35649261474612 5.58219299316409 54.2334076289178 68.1956085754791 381.2958984375
2006 11 1.42187652587893 -1.29880371093748 25.3987990128225 57.522695264197 381.458801269531
2006 12 0.865037536621116 -3.74316253662107 11.3273017267561 64.773640158819 381.621734619141
2007 1 -0.724203491210915 -4.58322753906248 18.237842993373 43.2730495522264 381.787292480469
2007 2 -3.5042785644531 -7.37038269042966 43.1432138882422 46.8718820848153 381.944854736328
2007 3 2.59535369873049 -1.44853820800779 83.8769346088152 48.4127779636765 382.102416992188
2007 4 5.09237060546877 -1.40722503662107 117.597887602413 46.4372970382101 382.265350341797
2007 5 15.7752319335938 8.07856903076174 150.59566802019 30.3350804679212 382.42822265625
2007 6 17.799462890625 11.2196823120117 147.756818674303 69.728930684505 382.591125488281
2007 7 19.7073608398438 13.3536163330078 153.682852615878 35.768209509115 382.756713867188
2007 8 19.0807510375977 13.4533554077149 123.940799086074 74.4836998928804 382.928436279297
2007 9 15.2740417480469 9.79600677490237 86.9678199411959 67.5593859778019 383.097442626953
2007 10 11.0927062988281 6.95319519042971 52.9013579075654 79.2710685491329 383.266387939453
2007 11 3.89746246337893 0.000657653808616487 25.2863127054988 97.2570103331236 383.435333251953
2007 12 0.042298889160179 -3.87899627685545 11.4189923858051 67.1655511250719 383.604309082031
2008 1 -2.63892974853513 -7.03887023925779 17.9708953667718 49.3564976204652 383.776062011719
2008 2 -1.79687347412107 -6.69700469970701 42.9252171435558 60.7366127951536 383.939453125
2008 3 1.71314392089846 -2.90319671630857 82.6087835136989 43.5160643683048 384.102874755859
2008 4 8.56531677246096 1.57001647949221 115.45895122861 31.4499445739784 384.271820068359
2008 5 14.6389556884766 7.09485778808596 149.332101302299 24.6788349213602 384.440795898438
2008 6 21.1722579956055 13.4815231323242 152.272176803367 31.0251374758082 384.609741210938
2008 7 18.5006423950196 12.8405014038086 156.31097498243 40.2743730082875 384.785766601562
2008 8 20.5523239135742 13.3453689575196 123.349646100829 26.9518328095728 384.973602294922
2008 9 16.0112319946289 10.9081970214844 84.9477238985069 77.2505628556246 385.158386230469
2008 10 12.3157897949219 8.07966003417971 53.5559628049955 99.1767214145511 385.343200683594
2008 11 3.43193206787112 0.381509399414085 25.2990665998379 38.9446309563937 385.528015136719
2008 12 -3.36706390380857 -8.40939178466795 11.3242888169512 66.0871042928193 385.712829589844
2009 1 -6.47566833496091 -11.2816223144531 18.0649415921013 22.6104225257586 385.900665283203
2009 2 -3.06799163818357 -7.70905914306638 42.9935007293228 47.2308113530744 386.079467773438
2009 3 -1.27850952148435 -5.91856231689451 83.2297588377309 60.0737773929723 386.258178710938
2009 4 2.8725296020508 -3.25581970214841 116.538217116439 33.0627455914509 386.443023681641
2009 5 8.9521423339844 2.16553649902346 149.950663888226 48.0586831545224 386.627838134766
2009 6 17.0891433715821 10.1721740722656 149.849315985526 53.5055461732554 386.812652587891
2009 7 17.7601867675781 11.6340423583985 154.881358265965 57.8023734087765 387.001129150391
2009 8 18.5670944213867 12.5221649169922 123.614320218287 30.5739076393365 387.197418212891
2009 9 12.2158142089844 7.31724700927737 85.9644446289008 92.523667626665 387.390563964844
2009 10 7.30056915283205 3.68351135253909 53.1649998826689 75.8683153835591 387.583709716797
2009 11 -0.0577606201171648 -4.66570129394529 25.2459071122733 79.713855026057 387.776824951172
2009 12 -7.34931793212888 -12.3408416748047 11.3276837321726 65.12452889001 387.969970703125
2010 1 -6.27943267822263 -11.6588272094726 18.4461066065894 42.8454005959793 388.166290283203
2010 2 -5.21974792480466 -10.656591796875 42.9462545610609 59.3767100363038 388.353118896484
